,Flkr,Log G
9,0.08608136704424396,3.9389999999999996
48,0.08234994311351329,4.215
50,0.08765408711042255,4.211
54,0.09032414527609944,4.006
79,0.0902738465811126,3.766
89,0.09343920828541741,4.023
122,0.09397632675245404,3.859
160,0.07875679148128256,3.763
267,0.08253737905761227,4.004
276,0.08894516940927133,4.387
279,0.08431080641457811,4.502
281,0.09573849092703313,4.066
295,0.08454858470940962,4.1339999999999995
348,0.085768973804079,4.016
370,0.08466900908388197,4.015
436,0.09766754374140874,4.535
442,0.07778494182275608,4.199
455,0.08249950042227283,4.396
574,0.0771580744185485,4.29
650,0.09950734965968877,4.333
656,0.09727747237775475,4.15
662,0.0995909285848029,4.496
664,0.09329934982815757,4.085
674,0.08850231824908406,4.159
718,0.091775887995027,4.385
872,0.08995668758871034,4.109
1044,0.09273974865209311,4.438
1051,0.08695076394360512,4.062
1197,0.07615642971359193,4.293
1288,0.09290284651797265,4.369
1307,0.09876892727334052,3.904
1431,0.09422380389878526,4.423
1451,0.08727719978196546,3.838
1493,0.09654230962041765,4.261
1516,0.08218121365644038,4.138
1560,0.08107616304187104,4.22
1607,0.09305095591116697,4.285
1631,0.08683725172886625,4.9
1679,0.08833631727611646,4.336
1722,0.09091338870348409,4.4719999999999995
1749,0.08839504153002053,4.3919999999999995
1766,0.09313721966464072,4.2989999999999995
1786,0.07845580694265664,4.734
1818,0.09937944560078904,4.1610000000000005
1855,0.09741531539475545,4.3180000000000005
1873,0.090705681941472,4.087
1912,0.09969867824111134,4.484
2085,0.08894976053852588,3.822
2101,0.09517087892163545,4.345
2138,0.09917331044562161,4.331
2298,0.07515195466112345,4.489
2349,0.09499427687842399,4.487
2454,0.0963500133366324,3.987
2517,0.0891351155587472,3.755
2585,0.09968428639695048,4.2139999999999995
2662,0.07612980698468164,4.26
2681,0.07797236321493983,4.1739999999999995
2683,0.09074902482097968,4.247
2830,0.0790073027019389,4.224
2904,0.08649334631627426,4.425
2914,0.08346953109139577,4.146
2916,0.0825774041004479,4.65
3004,0.08760066702961922,4.303999999999999
3043,0.08854536281432956,4.016
3065,0.09472556121181697,4.192
3078,0.08861246169544756,4.322
3098,0.08753375004744157,4.47
3106,0.07573547918582335,4.1339999999999995
3223,0.08908905874704942,4.5169999999999995
3251,0.09300462988903746,4.23
3271,0.07916977483546361,4.157
3288,0.08511985652148724,4.865
3317,0.08276917651528493,4.081
3324,0.09838421101449057,4.242
3369,0.07836823351681232,4.069
3471,0.08478764357278123,4.303
3494,0.0782291972427629,4.482
3543,0.06874556856928393,3.991
3549,0.08628834621049464,4.37
3568,0.09625335223972797,4.395
3627,0.09980129107134417,3.9410000000000003
3765,0.09047154890140519,4.655
3812,0.08381187944905832,4.213
3831,0.09924256301019341,4.372
3846,0.09509178926236928,4.313
3891,0.09528647206025198,4.447
3930,0.08742610953049734,4.138
3943,0.06536329601658508,4.0889999999999995
3969,0.07656135130673647,4.444
4024,0.09460351429879665,4.203
4033,0.07489001291105524,4.457
4080,0.09749442688189447,4.398
4189,0.09505418711341918,4.236000000000001
4284,0.08557667024433613,4.047
4293,0.07842461491236463,4.12
4296,0.09390913328388706,4.17
4319,0.08982289000414312,4.235
4320,0.08050289034144953,4.251
4326,0.09027563646668568,4.231
4328,0.08943321881815791,4.053
4329,0.07967602141434327,4.157
4356,0.09166901145363227,4.4030000000000005
4387,0.08800852810963988,4.43
4395,0.09629844134906307,4.191
4404,0.06986370863160118,4.35
4415,0.09595271694706753,4.146
4442,0.08923302084440365,4.334
4443,0.09392022184329107,4.506
4451,0.0845074318931438,4.413
4458,0.07902516517788172,3.931
4501,0.09605974628357217,4.06
4508,0.07880075281718746,4.508
4534,0.09907605272019282,4.311
4536,0.07150758756324649,4.559
4548,0.06805988232372329,4.147
4571,0.08826988050714135,4.6080000000000005
4612,0.09868253255262971,4.209
4642,0.092734357167501,4.128
4674,0.09379701077705249,4.106
4691,0.09277366916649044,4.148
4709,0.09674351167632267,4.263
4714,0.0792235296103172,4.138
4790,0.09291842434322461,4.189
4825,0.09529417002340779,4.196000000000001
4868,0.08916749357013032,4.1610000000000005
4918,0.08936058293329552,4.15
4971,0.07961167284520343,4.17
