,Flkr,Log G
4,0.09619409684091806,4.316
31,0.09053340181708336,4.376
111,0.09607076935935766,4.034
126,0.06521281466120854,4.338
128,0.07991484017111361,4.3260000000000005
133,0.08814167085802183,4.428
191,0.09438232518732548,4.207
244,0.09964686614694074,4.357
253,0.09923816105583683,4.17
268,0.09919945296132937,4.367
319,0.07678916881559417,4.007
473,0.08821540541248396,4.501
490,0.08816989429760724,4.274
555,0.0968433523667045,4.582
572,0.09851551294559613,4.47
609,0.06922204920556396,4.236000000000001
621,0.0787976969149895,4.289
657,0.08328555122716352,4.571000000000001
676,0.09887101623462513,4.445
678,0.09388641774421558,3.659
683,0.07519176142523065,4.216
693,0.08340808562934399,4.205
694,0.08449326560366899,4.618
768,0.07332609675358981,3.9419999999999997
778,0.0714264897396788,3.937
797,0.09701194358058274,4.188
820,0.08214552508434281,3.752
836,0.0932072798605077,4.198
859,0.07428289973177016,4.2669999999999995
880,0.06258232315303758,4.519
915,0.06698284414596856,4.05
944,0.08452984184259549,4.208
946,0.07784237823216245,3.9389999999999996
957,0.08628948125988245,4.378
1016,0.09326986037194729,4.138
1019,0.09507639333605766,4.513999999999999
1052,0.07135712075978518,4.495
1066,0.0981177799985744,3.9989999999999997
1143,0.08158642594935372,4.261
1157,0.07047359395073727,4.29
1182,0.08254188287537545,4.428999999999999
1192,0.08288733079098165,4.226
1215,0.09079757728613913,4.346
1229,0.07700104470131919,4.645
1243,0.0897141799214296,4.506
1347,0.09913300164043903,4.36
1356,0.0736584042897448,4.019
1423,0.08698472083779052,4.053999999999999
1430,0.09248443529941142,4.282
1439,0.09007214976008981,4.075
1518,0.07140165689634159,4.218
1525,0.09625638631405309,4.23
1561,0.08951038762461394,4.063
1569,0.0763318530516699,3.665
1572,0.07427208038279787,3.985
1591,0.09981483162846416,4.1930000000000005
1614,0.08869416342349723,3.7439999999999998
1620,0.09631270222598687,3.785
1633,0.08943137072492391,4.154
1687,0.0787558383308351,4.204
1714,0.06807348836446181,3.822
1766,0.07652913336642087,4.28
1914,0.09628146653994918,4.632
1922,0.06182616198202595,4.186
1929,0.07968156569404528,4.173
1988,0.08744531805859879,3.95
1993,0.08387665002373978,3.984
2051,0.09185891394736245,4.041
2074,0.07902574725449085,4.164
2077,0.08689031528774649,3.912
2091,0.08160521247191355,3.72
2111,0.09543578198645264,4.396
2126,0.08918098319554701,4.357
2130,0.07132360042305663,4.585
2248,0.08240655733970925,4.164
2282,0.087328466179315,4.051
2395,0.09317703370470554,4.262
2398,0.06998251774348319,4.232
2425,0.0906346904230304,4.324
2437,0.08477171650156379,4.027
2499,0.07174406346166506,4.445
2504,0.08520635310560465,3.7889999999999997
2524,0.08305092342197895,4.2860000000000005
2527,0.08707538654562086,3.682
2569,0.0720435127732344,4.124
2660,0.07235790690174326,3.947
2729,0.09532258263789117,4.127
2742,0.09003454761113971,4.645
2754,0.09611507994122803,3.967
2760,0.0994640140561387,4.317
2879,0.08700472972122952,4.272
2990,0.06817554822191596,4.101
2997,0.08325863018399104,4.367
3161,0.09184751252178103,3.627
3163,0.09254223550669849,4.112
3170,0.09913330723065883,3.935
3210,0.07103700045263395,4.255
3236,0.09024294558912516,4.235
3238,0.09910513472277671,4.238
3327,0.07127430581022054,4.474
3346,0.09706572745926678,4.283
3348,0.0773557330830954,4.194
3349,0.09907055937219411,4.3660000000000005
3351,0.09325480641564354,4.297
3360,0.07768462819512933,4.185
3384,0.09891073568724096,4.101
3390,0.09500352462055162,4.17
3436,0.07545599510194734,4.208
3442,0.07418342283926904,4.218
3456,0.07510952127631754,4.265
3470,0.08414627518504858,4.455
3507,0.08666907524457201,4.337
3511,0.07924900273792446,4.228
3514,0.08197806891985238,4.232
3528,0.09842884173849598,3.898
3546,0.059652804338838905,4.218
3564,0.08162621088558808,4.175
3592,0.09497551945969462,4.6
3600,0.08853220788296312,4.357
3605,0.07438729517161846,4.231
3619,0.09432049409952015,4.167
3648,0.08527840691385791,3.915
3716,0.09774140926310793,4.12
3728,0.09402925934409723,4.434
3783,0.08157963748089969,4.323
3847,0.06853857485111803,3.758
3870,0.0702933466527611,4.32
3909,0.09307900472776964,4.123
3972,0.07972024468472227,4.416
3975,0.09327095904154703,4.369
4068,0.09855664393398911,3.911
4104,0.09281912207370624,3.698
4185,0.08374693425139412,4.558
4192,0.09166162635665387,4.224
4198,0.07179303793236613,4.029
4205,0.0784867734182626,4.38
4209,0.09698224312160164,4.175
4214,0.07942975935293362,4.118
4216,0.09460822911933064,4.388
4293,0.07522821397287771,4.356
4309,0.0998657924355939,4.573
4325,0.09634138405090198,4.236000000000001
4326,0.07704582822043449,4.385
4346,0.07097401248756796,3.9730000000000003
4354,0.091208414232824,4.3260000000000005
4380,0.07856406591599807,4.2669999999999995
4381,0.09527372458251193,4.268
4407,0.06956097058719024,4.82
4515,0.0794342122389935,3.852
4516,0.0876264093676582,4.105
4538,0.09272153693018481,4.397
4634,0.08444071136182174,4.379
4676,0.07729526259936392,4.316
4751,0.08295387669932097,4.103
4766,0.08938911196310073,4.689
4811,0.08996233373181894,4.048
4824,0.07128957804525271,4.288
4866,0.07384722266579047,3.987
4903,0.08289101970149204,4.046
4908,0.09812970529310405,4.3469999999999995
