,Flkr,Log G
102,0.07626963633811101,4.129
222,0.09959634917322546,4.444
225,0.08812691521598026,4.51
303,0.09521470201434568,4.248
308,0.08384945977013558,3.9360000000000004
331,0.09989526733988896,3.805
389,0.09440919529879466,4.385
420,0.09557136218063533,4.1
473,0.09880308789433911,4.351
538,0.08612260717200115,4.551
712,0.09794509242055938,4.317
737,0.091809437435586,4.297
822,0.08772881847107783,4.209
869,0.0922063845791854,4.399
888,0.09814136137720197,4.146
901,0.07650766929145902,4.428999999999999
944,0.0930427122511901,4.343
1051,0.08639779116492718,4.343
1113,0.09298884106101468,4.881
1131,0.08198933937819675,4.37
1138,0.0915245691430755,4.516
1173,0.07512951560784131,4.2139999999999995
1179,0.09752092591952533,4.732
1233,0.09011811198433861,4.385
1234,0.07687701872782782,3.969
1236,0.09635684546083212,4.402
1251,0.08701501792529598,4.602
1444,0.09827889152802527,4.288
1492,0.08490420441376045,4.587
1559,0.08721874473849311,4.423
1597,0.08953947690315545,4.099
1655,0.07715592801105231,4.2989999999999995
1668,0.08247736695921049,4.271
1711,0.09083751501748338,4.815
1782,0.09443653107155114,4.2010000000000005
1802,0.09767712617758662,4.197
1930,0.08655567944515496,4.485
2005,0.08513714419677854,4.388999999999999
2006,0.09062054596142843,4.362
2021,0.07318700954783708,4.583
2022,0.07723879389232025,4.444
2026,0.07537329656770453,4.649
2122,0.08882053953129798,4.378
2128,0.07567924330942333,4.2860000000000005
2146,0.09629268606659025,4.5760000000000005
2200,0.0868696442921646,4.281000000000001
2216,0.06994699651841074,4.449
2255,0.08065859583439305,4.447
2270,0.09488004434388131,4.391
2316,0.08146333857439458,4.248
2379,0.08094187069218606,4.732
2403,0.09725519339554012,4.284
2431,0.09400721319252625,4.364
2443,0.09645980026107281,3.653
2444,0.09653277083998546,4.2139999999999995
2456,0.08310098928632215,4.4
2460,0.09933717956300825,4.053
2503,0.08648914808873087,4.25
2606,0.09169582335744053,4.003
2621,0.08291483391076326,4.138999999999999
2705,0.09485689952271059,3.773
2723,0.09837433754000813,4.093
2749,0.08137463737512007,4.145
2770,0.09692810999695212,4.348
2773,0.09161459456663579,4.463
2797,0.08561794675188139,4.296
2800,0.07982875104062259,4.438
2822,0.09602235513739288,4.359
2827,0.08174931281246245,4.131
2955,0.07810576062183827,4.425
2966,0.07971136801643297,4.544
3007,0.09309805318480358,3.9360000000000004
3118,0.08781495125731453,4.512
3194,0.0888546128408052,4.244
3205,0.09160776244243607,4.3389999999999995
3233,0.09778500680113211,3.823
3239,0.09489207150181755,4.051
3445,0.08817884372547269,4.466
3475,0.0780256959842518,4.0280000000000005
3484,0.09918513387674466,4.16
3507,0.08659912418806925,4.465
3523,0.0945894280448556,4.0360000000000005
3564,0.08375073230126873,4.487
3581,0.082188613305334,4.305
3644,0.07902587822172791,4.29
3674,0.07854543218854815,4.184
3684,0.08932506898418069,4.379
3721,0.08988071931526065,4.435
3741,0.08963129221228883,4.4719999999999995
3820,0.07933466986287385,4.272
3913,0.07502597145503387,4.458
3949,0.07008969259914011,4.227
3956,0.09391389176016673,4.348
3979,0.09585158113623038,4.8
4001,0.09107037476496771,4.289
4029,0.07971828745212406,4.671
4186,0.09669464634498581,4.575
4201,0.08113178773783147,4.638999999999999
4284,0.07117711356841028,4.131
4454,0.08711170085007325,4.471
4462,0.09467436757404357,4.467
4465,0.09179182234220207,4.436
4491,0.07798874867148697,4.2010000000000005
4604,0.08320419874507934,4.244
4635,0.09150509140454233,4.272
4689,0.09571330156177282,4.367
4693,0.09871675138128921,4.243
4722,0.08953581709647551,4.337
4745,0.08445443381788209,4.527
4759,0.09216372563969344,4.336
4768,0.08546783647034317,4.199
4774,0.08140403224388137,4.3660000000000005
